time,open,high,low,close,Plot,Plot,Chande MO,Plot,CHOP,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot
2023-04-30T17:00:00-04:00,1.10246,1.10246,1.10165,1.10205,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1496158130
2023-04-30T17:15:00-04:00,1.10205,1.10221,1.10168,1.10168,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2992316260
2023-04-30T17:30:00-04:00,1.10168,1.10196,1.10168,1.10168,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,4488474390
2023-04-30T17:45:00-04:00,1.10168,1.10186,1.10168,1.10176,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,5984632520
2023-04-30T18:00:00-04:00,1.10176,1.102,1.1013,1.10161,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,7480790650
2023-04-30T18:15:00-04:00,1.10161,1.10183,1.10133,1.10141,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,8976948780
2023-04-30T18:30:00-04:00,1.10141,1.10148,1.10105,1.10116,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,10473106910
2023-04-30T18:45:00-04:00,1.10116,1.10138,1.10106,1.10113,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,11969265040
2023-04-30T19:00:00-04:00,1.10113,1.10134,1.10105,1.10108,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,13465423170
2023-04-30T19:15:00-04:00,1.10108,1.10127,1.10106,1.10124,1.101475,1.102035,-62.79069767,1,NaN,NaN,NaN,NaN,NaN,NaN,14961581300
2023-04-30T19:30:00-04:00,1.10124,1.10134,1.101,1.10108,1.1014165,1.102035,-55.55555556,1,NaN,NaN,NaN,NaN,NaN,NaN,16457739430
2023-04-30T19:45:00-04:00,1.10108,1.10115,1.10101,1.10106,1.10138885,1.102035,-56.36363636,1,NaN,NaN,NaN,NaN,NaN,NaN,17953897560
2023-04-30T20:00:00-04:00,1.10106,1.10143,1.10102,1.10108,1.10138885,1.102035,-65.38461538,1,NaN,NaN,NaN,NaN,NaN,NaN,19450055690
2023-04-30T20:15:00-04:00,1.10108,1.10112,1.10063,1.1007,1.101030869,1.102035,-71.65354331,1,42.58313992,NaN,NaN,NaN,NaN,NaN,20946213820
2023-04-30T20:30:00-04:00,1.1007,1.10098,1.10062,1.10089,1.101016782,1.102035,-41.26984127,1,44.75351963,NaN,NaN,NaN,NaN,NaN,22442371950
2023-04-30T20:45:00-04:00,1.10089,1.10105,1.10044,1.10055,1.100858103,1.102035,-45.18518519,1,46.05603644,NaN,NaN,NaN,NaN,NaN,23938530080
2023-04-30T21:00:00-04:00,1.10055,1.10066,1.10028,1.10039,1.100694293,1.102035,-50,1,43.06991256,NaN,NaN,NaN,NaN,NaN,25434688210
2023-04-30T21:15:00-04:00,1.10039,1.10061,1.10023,1.10059,1.100640864,1.102035,-30.06134969,1,43.37225072,NaN,NaN,NaN,NaN,NaN,26930846340
2023-04-30T21:30:00-04:00,1.10059,1.10084,1.10045,1.10054,1.100638777,1.1017935,-46.05263158,1,45.02457882,NaN,NaN,NaN,NaN,NaN,28427004470
2023-04-30T21:45:00-04:00,1.10054,1.10058,1.1002,1.10039,1.1006059,1.10161115,-45.69536424,1,52.60384326,-130.1619895,NaN,NaN,NaN,0,29923162600
2023-04-30T22:00:00-04:00,1.10039,1.10042,1.10009,1.10024,1.10048831,1.101609035,-50,1,50.12207788,-135.5124561,NaN,NaN,NaN,0,31419320730
