time,open,high,low,close,Plot,24H Volume,Accumulation/Distribution,Advance Decline Line,ADR_B,Plot,Aroon Up,Aroon Down,ADR,ADX
2023-04-30T17:00:00-04:00,1.10246,1.10246,1.10165,1.10205,NaN,NaN,-1.592592593,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T17:15:00-04:00,1.10205,1.10221,1.10168,1.10168,NaN,NaN,-74.59259259,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T17:30:00-04:00,1.10168,1.10196,1.10168,1.10168,NaN,NaN,-810.5925926,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T17:45:00-04:00,1.10168,1.10186,1.10168,1.10176,NaN,NaN,-831.3703704,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T18:00:00-04:00,1.10176,1.102,1.1013,1.10161,NaN,NaN,-951.7132275,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T18:15:00-04:00,1.10161,1.10183,1.10133,1.10141,NaN,NaN,-1737.113228,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T18:30:00-04:00,1.10141,1.10148,1.10105,1.10116,NaN,NaN,-2156.136483,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T18:45:00-04:00,1.10116,1.10138,1.10106,1.10113,NaN,NaN,-2479.573983,404.4618793,NaN,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T19:00:00-04:00,1.10113,1.10134,1.10105,1.10108,1.101202611,NaN,-3110.884328,404.4618793,0.285714286,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T19:15:00-04:00,1.10108,1.10127,1.10106,1.10124,1.101165659,NaN,-2688.741471,404.4618793,0.5,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T19:30:00-04:00,1.10124,1.10134,1.101,1.10108,1.101144926,NaN,-3024.917942,404.4618793,0.5,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T19:45:00-04:00,1.10108,1.10115,1.10101,1.10106,1.101122067,NaN,-3230.632227,404.4618793,0.285714286,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T20:00:00-04:00,1.10106,1.10143,1.10102,1.10108,1.101098448,NaN,-4235.022471,404.4618793,0.285714286,2.74180865,NaN,NaN,NaN,NaN
2023-04-30T20:15:00-04:00,1.10108,1.10112,1.10063,1.1007,1.100999568,NaN,-5347.879614,404.4618793,0.285714286,2.74180865,7.142857143,100,0.000402143,NaN
2023-04-30T20:30:00-04:00,1.1007,1.10098,1.10062,1.10089,1.100922772,NaN,-4892.379614,404.4618793,0.5,2.74180865,7.142857143,100,0.00037,NaN
2023-04-30T20:45:00-04:00,1.10089,1.10105,1.10044,1.10055,1.100805119,NaN,-5769.559942,404.4618793,0.5,2.74180865,21.42857143,100,0.000375714,NaN
2023-04-30T21:00:00-04:00,1.10055,1.10066,1.10028,1.10039,1.100661962,NaN,-6245.770468,404.4618793,0.5,2.74180865,14.28571429,100,0.000382857,NaN
2023-04-30T21:15:00-04:00,1.10039,1.10061,1.10023,1.10059,1.100576419,NaN,-5355.50731,404.4618793,0.8,2.74180865,7.142857143,100,0.000397143,NaN
2023-04-30T21:30:00-04:00,1.10059,1.10084,1.10045,1.10054,1.100538667,NaN,-5823.430387,404.4618793,0.5,2.74180865,7.142857143,92.85714286,0.000375,NaN
2023-04-30T21:45:00-04:00,1.10054,1.10058,1.1002,1.10039,1.100503143,NaN,-5823.430387,404.4618793,0.5,2.74180865,7.142857143,100,0.000366429,NaN
2023-04-30T22:00:00-04:00,1.10039,1.10042,1.10009,1.10024,1.100428922,NaN,-5924.066751,404.4618793,0.5,2.74180865,42.85714286,100,0.000359286,NaN
2023-04-30T22:15:00-04:00,1.10024,1.10033,1.10007,1.1003,1.1003582,NaN,-5259.451366,404.4618793,0.5,2.74180865,35.71428571,100,0.000355,NaN
2023-04-30T22:30:00-04:00,1.1003,1.10068,1.10026,1.10058,1.100375763,NaN,-4722.022795,404.4618793,0.8,2.74180865,28.57142857,92.85714286,0.000364286,NaN
2023-04-30T22:45:00-04:00,1.10058,1.10082,1.10046,1.10081,1.100496109,NaN,-3883.356128,404.4618793,0.8,2.74180865,21.42857143,85.71428571,0.000375,NaN
2023-04-30T23:00:00-04:00,1.10081,1.10106,1.10055,1.10093,1.100664517,NaN,-3297.081618,404.4618793,1.25,2.74180865,14.28571429,78.57142857,0.000387143,NaN
2023-04-30T23:15:00-04:00,1.10093,1.1012,1.10085,1.10113,1.100847751,NaN,-2798.481618,404.4618793,2,2.74180865,7.142857143,71.42857143,0.000402143,NaN
2023-04-30T23:30:00-04:00,1.10113,1.10113,1.10085,1.10094,1.100946969,NaN,-3148.838761,404.4618793,1.25,2.74180865,92.85714286,64.28571429,0.000392857,NaN
2023-04-30T23:45:00-04:00,1.10094,1.1014,1.10089,1.1014,1.101077364,NaN,-1934.838761,404.4618793,2,2.74180865,100,57.14285714,0.000394286,35.15138933
2023-05-01T00:00:00-04:00,1.1014,1.10143,1.10106,1.10117,1.101154321,NaN,-2369.838761,404.4618793,2,2.74180865,100,50,0.000395,34.13296465
2023-05-01T00:15:00-04:00,1.10117,1.10136,1.10097,1.10134,1.101228229,NaN,-1437.402864,404.4618793,3.5,2.74180865,92.85714286,42.85714286,0.000379286,32.76016683
2023-05-01T00:30:00-04:00,1.10134,1.10136,1.10083,1.10084,1.101169169,NaN,-2167.761354,404.4618793,2,2.74180865,85.71428571,35.71428571,0.00039,30.85734583
2023-05-01T00:45:00-04:00,1.10084,1.10088,1.10032,1.10061,1.10100129,NaN,-2135.118497,404.4618793,1.25,2.74180865,78.57142857,28.57142857,0.000402857,29.96615752
2023-05-01T01:00:00-04:00,1.10061,1.10061,1.10037,1.10044,1.100781139,NaN,-2702.201831,404.4618793,0.8,2.74180865,71.42857143,21.42857143,0.000392143,29.13862551
2023-05-01T01:15:00-04:00,1.10044,1.1006,1.10026,1.10032,1.100576077,NaN,-3421.084184,404.4618793,0.5,2.74180865,64.28571429,14.28571429,0.000389286,28.68852193
2023-05-01T01:30:00-04:00,1.10032,1.10078,1.10008,1.10072,1.100524549,NaN,-2387.855612,404.4618793,0.5,2.74180865,57.14285714,7.142857143,0.000415714,28.2705686
2023-05-01T01:45:00-04:00,1.10072,1.10087,1.10043,1.1006,1.100543648,NaN,-2670.128339,404.4618793,0.5,2.74180865,50,92.85714286,0.000428571,27.45027254
2023-05-01T02:00:00-04:00,1.1006,1.10065,1.1001,1.10025,1.100505242,NaN,-3649.219248,404.4618793,0.285714286,2.74180865,42.85714286,85.71428571,0.000437857,27.65643009
2023-05-01T02:15:00-04:00,1.10025,1.10025,1.09949,1.09967,1.100290584,NaN,-4531.324512,404.4618793,0.285714286,2.74180865,35.71428571,100,0.000466429,29.0659743
2023-05-01T02:30:00-04:00,1.09967,1.10016,1.09947,1.10016,1.100133605,NaN,-2802.324512,404.4618793,0.285714286,2.74180865,28.57142857,100,0.000479286,30.40703982
2023-05-01T02:45:00-04:00,1.10016,1.10056,1.09964,1.09978,1.099991079,NaN,-4165.10712,404.4618793,0.285714286,2.74180865,21.42857143,92.85714286,0.00052,30.00689844
2023-05-01T03:00:00-04:00,1.09978,1.10045,1.09978,1.09987,1.099920522,NaN,-5854.510105,404.4618793,0.5,2.74180865,14.28571429,85.71428571,0.000547857,29.6353386
2023-05-01T03:15:00-04:00,1.09987,1.10057,1.09971,1.10021,1.099959618,NaN,-5473.091501,404.4618793,0.8,2.74180865,7.142857143,78.57142857,0.000572857,28.83188571
2023-05-01T03:30:00-04:00,1.10021,1.10046,1.09961,1.10002,1.100005878,NaN,-5544.985618,404.4618793,0.8,2.74180865,7.142857143,71.42857143,0.000607143,28.34298762
2023-05-01T03:45:00-04:00,1.10002,1.10033,1.09973,1.10033,1.100104585,NaN,-3630.985618,404.4618793,0.8,2.74180865,7.142857143,64.28571429,0.000622143,27.88901082
