time,open,high,low,close,Plot,Plot,Basis,Upper,Lower,ATR,Plot,Plot,Bollinger Bands %B,Bollinger Bands Width,BBPower,MF,Chaikin Oscillator
2023-04-30T17:00:00-04:00,1.10246,1.10246,1.10165,1.10205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.50617284,NaN,NaN,NaN,NaN,NaN
2023-04-30T17:15:00-04:00,1.10205,1.10221,1.10168,1.10168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.698113208,NaN,NaN,NaN,NaN,NaN
2023-04-30T17:30:00-04:00,1.10168,1.10196,1.10168,1.10168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
2023-04-30T17:45:00-04:00,1.10168,1.10186,1.10168,1.10176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.444444444,NaN,NaN,NaN,NaN,NaN
2023-04-30T18:00:00-04:00,1.10176,1.102,1.1013,1.10161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.214285714,NaN,NaN,NaN,NaN,NaN
2023-04-30T18:15:00-04:00,1.10161,1.10183,1.10133,1.10141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4,NaN,NaN,NaN,NaN,NaN
2023-04-30T18:30:00-04:00,1.10141,1.10148,1.10105,1.10116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.581395349,NaN,NaN,NaN,NaN,NaN
2023-04-30T18:45:00-04:00,1.10116,1.10138,1.10106,1.10113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.09375,NaN,NaN,NaN,NaN,NaN
2023-04-30T19:00:00-04:00,1.10113,1.10134,1.10105,1.10108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.172413793,NaN,NaN,NaN,NaN,NaN
2023-04-30T19:15:00-04:00,1.10108,1.10127,1.10106,1.10124,1.101475,1.102035,NaN,NaN,NaN,NaN,NaN,0.761904762,NaN,NaN,NaN,NaN,-1160.525714
2023-04-30T19:30:00-04:00,1.10124,1.10134,1.101,1.10108,1.1014165,1.102035,NaN,NaN,NaN,NaN,NaN,-0.470588235,NaN,NaN,NaN,NaN,-1070.481402
2023-04-30T19:45:00-04:00,1.10108,1.10115,1.10101,1.10106,1.10138885,1.102035,NaN,NaN,NaN,NaN,NaN,-0.142857143,NaN,NaN,NaN,NaN,-1001.783147
2023-04-30T20:00:00-04:00,1.10106,1.10143,1.10102,1.10108,1.10138885,1.102035,NaN,NaN,NaN,NaN,NaN,0.048780488,NaN,NaN,-0.000322308,NaN,-1202.186834
2023-04-30T20:15:00-04:00,1.10108,1.10112,1.10063,1.1007,1.101030869,1.102035,NaN,NaN,NaN,0.000402143,NaN,-0.775510204,NaN,NaN,-0.000826264,NaN,-1528.971357
2023-04-30T20:30:00-04:00,1.1007,1.10098,1.10062,1.10089,1.101016782,1.102035,NaN,NaN,NaN,0.000399133,NaN,0.527777778,NaN,NaN,-0.000862512,NaN,-1378.726721
2023-04-30T20:45:00-04:00,1.10089,1.10105,1.10044,1.10055,1.100858103,1.102035,NaN,NaN,NaN,0.000414195,NaN,-0.557377049,NaN,NaN,-0.000777867,NaN,-1471.027045
2023-04-30T21:00:00-04:00,1.10055,1.10066,1.10028,1.10039,1.100694293,1.102035,NaN,NaN,NaN,0.000411752,NaN,-0.421052632,NaN,NaN,-0.001115315,NaN,-1526.578068
2023-04-30T21:15:00-04:00,1.10039,1.10061,1.10023,1.10059,1.100640864,1.102035,NaN,NaN,NaN,0.000409484,NaN,0.526315789,NaN,NaN,-0.00109027,NaN,-1127.258112
2023-04-30T21:30:00-04:00,1.10059,1.10084,1.10045,1.10054,1.100638777,1.1017935,NaN,NaN,NaN,0.000408092,NaN,-0.128205128,NaN,NaN,-0.000518803,NaN,-1010.306553
2023-04-30T21:45:00-04:00,1.10054,1.10058,1.1002,1.10039,1.1006059,1.10161115,1.1011035,1.102050311,1.100156689,0.000406086,NaN,-0.394736842,0.123208841,0.001719749,-0.000881831,-0.346632761,-870.6166834
2023-04-30T22:00:00-04:00,1.10039,1.10042,1.10009,1.10024,1.10048831,1.101609035,1.101013,1.101926041,1.100099959,0.000400651,NaN,-0.454545455,0.076689361,0.001658547,-0.000982998,-0.333135007,-766.3445176
2023-04-30T22:15:00-04:00,1.10024,1.10033,1.10007,1.1003,1.100454479,1.101599132,1.100944,1.101853558,1.100034442,0.000390605,NaN,0.230769231,0.145981947,0.001652324,-0.000965427,-0.279221217,-442.5515076
2023-04-30T22:30:00-04:00,1.1003,1.10068,1.10026,1.10058,1.100454479,1.101433218,1.100889,1.101745362,1.100032638,0.000392704,NaN,0.666666667,0.319585658,0.001555765,-0.00039608,-0.207403903,-98.85877551
2023-04-30T22:45:00-04:00,1.10058,1.10082,1.10046,1.10081,1.100454479,1.101061897,1.1008415,1.10159903,1.10008397,0.000390368,NaN,0.638888889,0.479208731,0.001376274,-9.66401E-05,-0.156031992,317.5784429
2023-04-30T23:00:00-04:00,1.10081,1.10106,1.10055,1.10093,1.100454479,1.101045521,1.1008075,1.101480311,1.100134689,0.000398913,NaN,0.235294118,0.591035931,0.001222396,0.000164309,-0.119036106,645.6102452
2023-04-30T23:15:00-04:00,1.10093,1.1012,1.10085,1.10113,1.100454479,1.101045521,1.1007935,1.101426027,1.100160973,0.00039542,NaN,0.571428571,0.765996353,0.001149221,0.000487979,-0.054768997,879.7586874
2023-04-30T23:30:00-04:00,1.10113,1.10113,1.10085,1.10094,1.100451641,1.101045521,1.1007825,1.101396532,1.100168468,0.000387175,NaN,-0.678571429,0.628250695,0.001115628,0.000372553,-0.050902588,784.0913513
2023-04-30T23:45:00-04:00,1.10094,1.1014,1.10089,1.1014,1.100451641,1.101045521,1.100796,1.101450535,1.100141465,0.000395948,NaN,0.901960784,0.961396295,0.001189203,0.000512188,0.027046086,1059.946409
2023-05-01T00:00:00-04:00,1.1014,1.10143,1.10106,1.10117,1.100451641,1.101045521,1.1008005,1.10146396,1.10013704,0.000394095,NaN,-0.621621622,0.778464468,0.001205413,0.000631876,0.036293739,938.0283502
2023-05-01T00:15:00-04:00,1.10117,1.10136,1.10097,1.10134,1.100451641,1.101045521,1.1008055,1.101483482,1.100127518,0.000393803,NaN,0.435897436,0.894184761,0.001231792,0.000354465,0.05997022,1099.561625
