Date,Time,Session,Day,open,high,low,close,Basis,Upper,Lower,Plot,EUR Index (Average),USD Index (HLC),Accumulation/Distribution,Histogram,MACD,Signal1,RVI,Candlestick,RVI-based MA,SMI,SMI-based EMA,K,D,Signal,Currency div candle
01/05/2023,4:45,London Session,Monday,1.0996,1.09973,1.09915,1.09922,1.100225,1.101313072,1.099136928,1.099563863,16.58596354,67.87983146,-4624.883343,-6.78E-05,-0.00035936,-0.000291552,39.7547754,Bearish,39.50586685,-49.14140399,-39.72790356,37.05855697,51.33861117,Buy,conu
01/05/2023,5:00,London Session,Monday,1.09922,1.09954,1.09883,1.09945,1.100139,1.101185822,1.099092178,1.09945429,16.58661433,67.88002811,-3404.390385,-6.05E-05,-0.000367234,-0.000306688,48.22407902,Bullish,39.90870257,-46.76427111,-43.24608733,43.28174338,43.5759632,Buy,conu
01/05/2023,5:15,London Session,Monday,1.09945,1.10008,1.09936,1.10004,1.100074,1.100964178,1.099183822,1.099548077,16.58654383,67.87140952,-2217.723718,-1.24E-05,-0.000322154,-0.000309781,55.60807397,Bullish Marubozu,41.30353309,-22.70057283,-32.97333008,59.46384145,46.6013806,No trade,cond
01/05/2023,5:30,London Session,Monday,1.10004,1.10023,1.09987,1.10023,1.1000435,1.10086582,1.09922118,1.09977427,16.58948486,67.87022742,-1068.723718,3.34E-05,-0.000268006,-0.000301426,62.22410461,Bullish,43.59263675,4.948031902,-14.01264909,83.90143442,62.21567309,No trade,divu
01/05/2023,5:45,London Session,Monday,1.10023,1.10045,1.10017,1.10033,1.1000295,1.100821749,1.099237251,1.100023796,16.59284145,67.87022101,-877.7237183,6.95E-05,-0.000214551,-0.000284051,67.9366877,Bullish,46.67573204,31.05184818,8.519599548,100,81.12175863,No trade,divu
01/05/2023,6:00,London Session,Monday,1.10033,1.10067,1.10018,1.10021,1.100018,1.100792561,1.099243439,1.100172456,16.58398811,67.8596601,-2482.764535,8.34E-05,-0.000179798,-0.000263201,57.57328397,Bearish,48.14565145,42.46473924,25.49216939,96.57730194,93.49291212,No trade,cond
01/05/2023,6:15,London Session,Monday,1.10021,1.10032,1.09997,1.10022,1.100013,1.100780961,1.099245039,1.100226493,16.58077542,67.85749414,-1533.47882,9.08E-05,-0.000149723,-0.000240505,63.76681852,Bullish Doji,50.42731104,47.42903068,36.46060004,93.45506864,96.67745686,No trade,cond
01/05/2023,6:30,London Session,Monday,1.10022,1.10063,1.10006,1.10063,1.1000085,1.100760731,1.099256269,1.100320765,16.58479947,67.85904662,-447.4788203,0.000119006,-9.17E-05,-0.000210754,69.71628492,Bullish,52.48549422,61.04692027,48.75376015,93.45506864,94.49581308,No trade,conu
01/05/2023,6:45,London Session,Monday,1.10063,1.10095,1.10046,1.10088,1.1000225,1.10082686,1.09921814,1.100492919,16.5907804,67.8613809,238.2354654,0.000148334,-2.53E-05,-0.00017367,74.94202731,Bullish,54.38595765,73.35794793,61.05585404,96.8777667,94.595968,No trade,conu
01/05/2023,7:00,London Session,Monday,1.10088,1.10101,1.10066,1.1007,1.100045,1.100897303,1.099192697,1.100633221,16.59689283,67.86771203,-735.3073917,0.000149036,1.26E-05,-0.000136411,62.4327683,Bearish,55.82306973,75.64146392,68.34865898,95.74643663,95.35975732,No trade,conu
01/05/2023,7:15,London Session,Monday,1.1007,1.10118,1.10062,1.10109,1.100116,1.101062856,1.099169144,1.100790753,16.60247643,67.87229464,306.2997511,0.000167796,7.33E-05,-9.45E-05,67.96325307,Bullish Marubozu,57.1365794,80.83834638,74.59350268,95.74643663,96.12354665,No trade,conu
01/05/2023,7:30,London Session,Monday,1.10109,1.10139,1.10087,1.10105,1.1001605,1.101191373,1.099129627,1.100910564,16.60567967,67.87290307,-255.854095,0.000169067,0.000116871,-5.22E-05,59.70169502,Bearish Doji,58.24174903,78.60413206,76.59881737,94.8174473,95.43677352,No trade,conu
01/05/2023,7:45,London Session,Monday,1.10105,1.1014,1.10083,1.10134,1.1002385,1.101373247,1.099103753,1.101056897,16.61145502,67.88164554,1105.98801,0.000179983,0.000172784,-7.20E-06,65.01456729,Bullish,60.07971912,80.64543576,78.62212656,99.07101067,96.54496486,No trade,conu
01/05/2023,8:00,London-New York Overlap,Monday,1.10134,1.10134,1.10075,1.10116,1.100303,1.101491984,1.099114016,1.101145825,16.61170553,67.88013343,2181.530383,0.000165969,0.000200262,3.43E-05,56.51873366,Bearish,60.81265377,78.41681599,78.51947128,95.09088684,96.32644827,Buy,divu
01/05/2023,8:15,London-New York Overlap,Monday,1.10116,1.10199,1.10116,1.10165,1.100375,1.101699424,1.099050576,1.101289208,16.61755227,67.88138277,2779.903877,0.000179443,0.000258596,7.92E-05,62.8683881,Bullish,62.46362611,74.44219923,76.48083526,96.01987617,96.7272579,No trade,conu
01/05/2023,8:30,London-New York Overlap,Monday,1.10165,1.10302,1.10131,1.10298,1.100523,1.102254613,1.098791387,1.101727725,16.62192586,67.87378323,6789.131947,0.000262637,0.00040745,0.000144813,70.81883816,Bullish Marubozu,64.07753747,81.83579069,79.15831297,96.01987617,95.71021306,No trade,divu
01/05/2023,8:45,London-New York Overlap,Monday,1.10298,1.10337,1.10251,1.10328,1.1006705,1.102773883,1.098567117,1.102312165,16.62743566,67.871241,9756.620319,0.000318839,0.000543361,0.000224522,77.62665846,Bullish,65.65029351,87.389874,83.27409349,100,97.34658412,Sell,divu
01/05/2023,9:00,London-New York Overlap,Monday,1.10328,1.10356,1.10261,1.10266,1.1008075,1.103049846,1.098565154,1.102682427,16.62676376,67.84137775,6523.936109,0.000295737,0.000594194,0.000298457,60.93363122,Bearish,65.55811684,75.62094735,79.44752042,88.18171771,94.73386463,Sell,cond
01/05/2023,9:15,London-New York Overlap,Monday,1.10266,1.10288,1.10207,1.10248,1.10096,1.103221645,1.098698355,1.102756102,16.62457455,67.83176082,6554.985492,0.000251546,0.00061289,0.000361343,48.97629806,Bearish,64.20380329,60.39747277,69.92249659,73.24556922,87.14242897,Sell,cond
01/05/2023,9:30,London-New York Overlap,Monday,1.10248,1.10265,1.10219,1.10231,1.1010955,1.103339643,1.098851357,1.102621955,16.6236854,67.81950651,4825.115926,0.000196519,0.000606991,0.000410473,40.61591837,Bearish,62.99256289,45.29579325,57.60914492,55.27126748,72.23285147,Sell,cond
01/05/2023,9:45,London-New York Overlap,Monday,1.10231,1.10275,1.10171,1.10174,1.1012215,1.103307705,1.099135295,1.10233922,16.62007541,67.79948798,1824.808234,0.000111608,0.000549983,0.000438375,34.30094216,Bearish,60.88785744,23.39037486,40.49975989,33.75621644,54.09101771,Sell,cond
